Landscape,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
B,"0",,H,"11936","1",308585.407744,2403079.502185,308586.343104,2403057.997097,"1",308585.875424,2403068.749641,21.52542,3.098125,HP
B,"0",,H,"11937","1",308586.343104,2403057.997097,308601.467392,2403036.506857,"1",308593.905248,2403047.251977,26.278784,2.528338,HO
B,"0",,H,"11938","1",308601.467392,2403036.506857,308638.811776,2402983.996073,"1",308620.139584,2403010.251465,64.435902,2.523406,HO
B,"0",,H,"11939","1",308638.811776,2402983.996073,308678.094976,2402930.743049,"1",308658.453376,2402957.369561,66.174424,2.506029,HO
B,"0",,H,"11948","1",308252.030752,2403074.002313,308251.783136,2403097.428329,"1",308251.906944,2403085.715321,23.427325,3.131023,HP
B,"0",,H,"11949","1",308529.501184,2403098.999273,308585.407744,2403079.502185,"1",308557.454464,2403089.250729,59.208782,1.906352,HV
B,"0",,H,"11950","1",308251.708384,2403104.504873,308251.783136,2403097.428329,"1",308251.74576,2403100.966601,7.076939,3.13103,HP
B,"0",,H,"11952","1",308199.094176,2403109.999081,308198.282976,2403073.245801,"1",308198.688576,2403091.622441,36.762231,0.022068,HP
B,"0",,H,"11953","1",308198.282976,2403073.245801,308252.030752,2403074.002313,"1",308225.156864,2403073.624057,53.7531,1.556722,HV
B,"0",,H,"11955","1",308149.595008,2403112.749033,308199.094176,2403109.999081,"1",308174.344592,2403111.374057,49.575497,1.626295,HV
